LSOA21CD,IMD_Decile,group_key,accessibility_score,group,imd
E01001051,2,older_walk_index,56.9333333333333,Older adults,2
E01001052,2,older_walk_index,42,Older adults,2
E01001053,3,older_walk_index,26.3333333333333,Older adults,3
E01001054,2,older_walk_index,47.3333333333333,Older adults,2
E01001055,2,older_walk_index,38.4,Older adults,2
E01001056,2,older_walk_index,35.4,Older adults,2
E01001057,2,older_walk_index,26.2666666666667,Older adults,2
E01001058,7,older_walk_index,29.9333333333333,Older adults,7
E01001059,6,older_walk_index,19.4,Older adults,6
E01001060,5,older_walk_index,0,Older adults,5
E01001061,4,older_walk_index,17.4,Older adults,4
E01001062,8,older_walk_index,19.0666666666667,Older adults,8
E01001063,9,older_walk_index,28.9333333333333,Older adults,9
E01001064,7,older_walk_index,0.933333333333333,Older adults,7
E01001065,6,older_walk_index,22.2,Older adults,6
E01001066,2,older_walk_index,20.6666666666667,Older adults,2
E01001067,9,older_walk_index,8.13333333333333,Older adults,9
E01001068,6,older_walk_index,19.3333333333333,Older adults,6
E01001069,8,older_walk_index,19.3333333333333,Older adults,8
E01001070,6,older_walk_index,9.06666666666667,Older adults,6
E01001071,7,older_walk_index,15.4666666666667,Older adults,7
E01001072,9,older_walk_index,0,Older adults,9
E01001073,6,older_walk_index,22.1333333333333,Older adults,6
E01001074,5,older_walk_index,15.4666666666667,Older adults,5
E01001075,7,older_walk_index,35.6,Older adults,7
E01001076,2,older_walk_index,38.6666666666667,Older adults,2
E01001077,5,older_walk_index,36.3333333333333,Older adults,5
E01001078,2,older_walk_index,37.8666666666667,Older adults,2
E01001079,2,older_walk_index,18.6,Older adults,2
E01001080,1,older_walk_index,35.3333333333333,Older adults,1
E01001081,2,older_walk_index,17.2666666666667,Older adults,2
E01001082,3,older_walk_index,23.6,Older adults,3
E01001083,7,older_walk_index,18.5333333333333,Older adults,7
E01001084,7,older_walk_index,22.8,Older adults,7
E01001085,5,older_walk_index,27.4,Older adults,5
E01001086,6,older_walk_index,23,Older adults,6
E01001087,4,older_walk_index,27.8,Older adults,4
E01001088,6,older_walk_index,25.7333333333333,Older adults,6
E01001089,3,older_walk_index,33.8,Older adults,3
E01001090,4,older_walk_index,23.5333333333333,Older adults,4
E01001091,6,older_walk_index,24.5333333333333,Older adults,6
E01001092,5,older_walk_index,14,Older adults,5
E01001093,7,older_walk_index,23.7333333333333,Older adults,7
E01001094,9,older_walk_index,6.6,Older adults,9
E01001095,6,older_walk_index,22.3333333333333,Older adults,6
E01001096,9,older_walk_index,9.33333333333334,Older adults,9
E01001097,4,older_walk_index,0,Older adults,4
E01001098,9,older_walk_index,9.06666666666667,Older adults,9
E01001099,5,older_walk_index,9.33333333333334,Older adults,5
E01001100,8,older_walk_index,29.4666666666667,Older adults,8
E01001101,10,older_walk_index,7.46666666666667,Older adults,10
E01001102,9,older_walk_index,35.7333333333333,Older adults,9
E01001103,9,older_walk_index,34.3333333333333,Older adults,9
E01001104,10,older_walk_index,9.73333333333334,Older adults,10
E01001105,5,older_walk_index,18.2,Older adults,5
E01001106,7,older_walk_index,12.9333333333333,Older adults,7
E01001107,9,older_walk_index,10.8,Older adults,9
E01001108,10,older_walk_index,8.53333333333334,Older adults,10
E01001109,3,older_walk_index,36.2,Older adults,3
E01001110,2,older_walk_index,45.5333333333333,Older adults,2
E01001111,3,older_walk_index,20.8666666666667,Older adults,3
E01001112,3,older_walk_index,8.46666666666667,Older adults,3
E01001113,3,older_walk_index,13.7333333333333,Older adults,3
E01001114,2,older_walk_index,19.5333333333333,Older adults,2
E01001115,1,older_walk_index,48.5333333333333,Older adults,1
E01001116,3,older_walk_index,47.2,Older adults,3
E01001118,2,older_walk_index,46.8,Older adults,2
E01001119,8,older_walk_index,7.66666666666667,Older adults,8
E01001120,8,older_walk_index,29.3333333333333,Older adults,8
E01001121,9,older_walk_index,2.8,Older adults,9
E01001122,8,older_walk_index,14.2,Older adults,8
E01001123,8,older_walk_index,7.86666666666667,Older adults,8
E01001124,10,older_walk_index,14.4,Older adults,10
E01001125,7,older_walk_index,61.1333333333333,Older adults,7
E01001126,9,older_walk_index,19.4666666666667,Older adults,9
E01001127,8,older_walk_index,50.9333333333333,Older adults,8
E01001128,2,older_walk_index,17,Older adults,2
E01001129,10,older_walk_index,25.5333333333333,Older adults,10
E01001130,2,older_walk_index,46.7333333333333,Older adults,2
E01001131,7,older_walk_index,17.7333333333333,Older adults,7
E01001132,8,older_walk_index,20.7333333333333,Older adults,8
E01001133,7,older_walk_index,50.8,Older adults,7
E01001134,8,older_walk_index,20.5333333333333,Older adults,8
E01001135,9,older_walk_index,32.0666666666667,Older adults,9
E01001136,3,older_walk_index,48.2666666666667,Older adults,3
E01001137,4,older_walk_index,31.8666666666667,Older adults,4
E01001138,5,older_walk_index,32.2666666666667,Older adults,5
E01001139,5,older_walk_index,28.9333333333333,Older adults,5
E01001140,4,older_walk_index,52.4666666666667,Older adults,4
E01001141,3,older_walk_index,18.6,Older adults,3
E01001142,5,older_walk_index,17.2,Older adults,5
E01001143,3,older_walk_index,22.6666666666667,Older adults,3
E01001144,2,older_walk_index,30.4666666666667,Older adults,2
E01001145,2,older_walk_index,41.4666666666667,Older adults,2
E01001146,5,older_walk_index,54.2666666666667,Older adults,5
E01001147,2,older_walk_index,47.4,Older adults,2
E01001148,4,older_walk_index,31.8666666666667,Older adults,4
E01001149,6,older_walk_index,21.2,Older adults,6
